Description	Code
Write a Python program to create the colon of a tuple.	"

from copy import deepcopy
tuplex = (""HELLO"", 5, [], True)
print(tuplex)
tuplex_colon = deepcopy(tuplex)
tuplex_colon[2].append(50)
"
write a python program to print 5 random vowels	"import random
vowels = ['a', 'e', 'i', 'o', 'u']
print([random.choice(vowels) for _ in range(5)])
"
message to the user.	"

number = int(input(""Number: ""))


if number % 2 == 0 and number % 4 != 0:
	print(""Your number is even..."")
elif number % 4 == 0:
	print(""Your number is a multiple of 4"")
else:
	print(""Your number is odd..."")
"
Number	"

def collatz(n):
	while n > 1:
        print(n, end=' ')
        if (n % 2):
            
            n = 3 * n + 1
        else:
            
            n = n // 2
	print(1, end='')
"
list for the below list	"

def bubble_sort(alist):
	for i in range(len(alist) - 1, 0, -1):
        no_swap = True
        for j in range(0, i):
            if alist[j + 1] < alist[j]:
                alist[j], alist[j + 1] = alist[j + 1], alist[j]
                no_swap = False
        if no_swap:
            return


alist = [2, 3, 5, 6, 4, 5]
bubble_sort(alist)
print('Sorted list: ', end='')
print(alist)
"
Generate a random date between given start and end dates	"import random
import time


def getRandomDate(startDate, endDate):
	print(""Printing random date between"", startDate, "" and "", endDate)
	randomGenerator = random.random()
	dateFormat = '%m/%d/%Y'

	startTime = time.mktime(time.strptime(startDate, dateFormat))
	endTime = time.mktime(time.strptime(endDate, dateFormat))

	randomTime = startTime + randomGenerator * (endTime - startTime)
	randomDate = time.strftime(dateFormat, time.localtime(randomTime))
	return randomDate


print(""Random Date = "", getRandomDate(""1/1/2016"", ""12/12/2018""))
"
Distinct Integers	"

class sub:
	def f1(self, s1):
        return self.f2([], sorted(s1))

	def f2(self, curr, s1):
        if s1:
            return self.f2(curr, s1[1:]) + self.f2(curr + [s1[0]], s1[1:])
        return [curr]


a = [2, 3, 5, 6, 4, 5]


print(""Subsets: "")
print(sub().f1(a))
"
write a program to replace duplicate word occurence in String	"

str1 = ""IISC is the best. IISC has Classes in the evening for professionals. Classes help to learn new things.""


repl_dict = {'IISC': 'It', 'Classes': 'They'}


str_list = str1.split(' ')


res = set()


for idx, ele in enumerate(str_list):
	if ele in repl_dict:
        print(str(idx) + '  ' + ele)
        if ele in res:
            str_list[idx] = repl_dict[ele]
        else:
            res.add(ele)


res = ' '.join(str_list)


print(""Replaced String: "" + str(res))
"
write a python program to calculate distance between tao points	"

import math
p1 = [4, 0]
p2 = [6, 6]
distance = math.sqrt(((p1[0] - p2[0])**2) + ((p1[1] - p2[1])**2))
print(f""The distance between {p1} and {p2} is {distance}"")
"
Write a python program to print calendar of a given year	"

import calendar

year = 2019
print(calendar.calendar(year))
"
Write a Python function to Find the Power of a Number Using Recursion	"

def power(base, exp):
	if(exp == 1):
        return(base)
	if(exp != 1):
        return(base * power(base, exp - 1))
"
write a python program to add and print two user defined list using map	"input_string = input(""Enter a list element separated by space "")
list1 = input_string.split()
input_string = input(""Enter a list element separated by space "")
list2 = input_string.split()
list1 = [int(i) for i in list1]
list2 = [int(i) for i in list2]
result = map(lambda x, y: x + y, list1, list2)
print(list(result))
"
are divisible by 5 and 7 , between 1 and 1000 inclusive.	"import random
print(
	random.sample(
        [i for i in range(1, 1001) if i % 5 == 0 and i % 7 == 0],
        5))
"
access first characters in a string	"word = ""Hello World""
letter = word[0]
print(f""First Charecter in String:{letter}"")
"
the number duplicated n times	"

def duplicate_array(num, n):
	num = [num] * n
	return num
"
7. python sigmoid function	"def sigmoid_activation(l):
	return[round(1 / (1 + math.exp(-x)), 2) for x in l]
"
a given string	"str1 = 'TestStringwith123456789'
no_of_letters, no_of_digits = 0, 0
for c in str1:
	no_of_letters += c.isalpha()
	no_of_digits += c.isnumeric()


print(no_of_letters)
print(no_of_digits)
"
[2,4,6,8] is even.	"li = [2, 4, 6, 8]
for i in li:
	assert i % 2 == 0
"
write a program to remove all duplicate characters from a string	"

str1 = ""what a great day!""
print("""".join(set(str1)))
"
Write a Python program to print largest element in an array	"arr = [10, 324, 45, 90, 9808]
print(f'the largest element in the array is {max(arr)}')
"
string format	"from datetime import datetime
given_date = datetime(2020, 2, 25)
string_date = given_date.strftime(""%Y-%m-%d %H:%M:%S"")
print(string_date)
"
tuples Using map() + eval	"

test_list = ['4, 1', '3, 2', '5, 3']
print(""The original list : "" + str(test_list))
res = list(map(eval, test_list))
print(""The list after conversion to tuple list : "" + str(res))
"
Write a Python Program to Map Two Lists into a Dictionary	"

def map_dict(keys, values):
	return dict(zip(keys, values))
"
write a python program to explain local and global scope	"

def f1():
	x = 'enclosing'

	def g():
        x = 'local'
        return x
	x = g()
	return x


obj2 = f1()
print('explain local scope:', obj2)
"
access first characters in a string	"word = ""Hello World""
letter = word[0]
print(f""First Charecter in String:{letter}"")
"
it's binary representation	"

def dec2bin(num):
	print(format(num, ""b""))
"
Compute the product of every pair of numbers from two lists	"list1 = [1, 2, 3]
list2 = [5, 6, 7]
final = [a * b for a in list1 for b in list2]
print(f""Product of every pair of numbers from two lists:{final}"")
"
keys and values	"a = {""a"": 1, ""b"": 2, ""c"": 3, ""d"": 4}
for k, v in a.items():
	print(k, v)
"
Write a Python program to create a symmetric difference	"setx = set([""apple"", ""mango""])
sety = set([""mango"", ""orange""])
setc = setx ^ sety
print(setc)
"
List to Order Key Nested dictionaries Using loop + enumerate()	"

test_list = [{""Gfg"": 3, 4: 9}, {""is"": 8, ""Good"": 2}, {""Best"": 10, ""CS"": 1}]


print(""The original list : "" + str(test_list))


res = dict()
for idx, val in enumerate(test_list):
	res[idx] = val


print(""The constructed dictionary : "" + str(res))
"
write a python function that returns biggest character in a string	"from functools import reduce


def biggest_char(string):
	if not isinstance(string, str):
        raise TypeError
	return reduce(lambda x, y: x if ord(x) > ord(y) else y, string)
"
itertools.permutations(iterable, r)	"def random_permutation(iterable, r=None):
	import random
	pool = tuple(iterable)
	r = len(pool) if r is None else r
	return tuple(random.sample(pool, r))
"
Write a python function that prints the factors of a given number	"

def print_factors(x):
	print(f""The factors of {x} are:"")
	for i in range(1, x + 1):
        if x % i == 0:
            print(i)
"
write a Python Program to Check Whether a String is Palindrome or Not	"my_str = 'aIbohPhoBiA'
my_str = my_str.casefold()
rev_str = reversed(my_str)
if list(my_str) == list(rev_str):
	print(""The string is a palindrome."")
else:
	print(""The string is not a palindrome."")
"
write a function to calculate speed given distance covered and time taken	"

def calspeed(dist, time):
	return dist / time
"
sorted dictionary with 'key' argument.	"

d = {'apple': 10, 'orange': 20, 'banana': 5, 'rotten tomato': 1}
print(sorted(d.items(), key=lambda x: x[1]))
"
90 Write a python function to round down a given decimal number	"

import math


def apply_ceil(num):
	return math.ceil(x)
"
Count Tuple Elements Inside List	"random = ['a', ('a', 'b'), ('a', 'b'), [3, 4]]
count = random.count(('a', 'b'))
print(""The count of ('a', 'b') is:"", count)
"
Python 3 program to find time for a given angle.	"

def calcAngle(hh, mm):
	hour_angle = 0.5 * (hh * 60 + mm)
	minute_angle = 6 * mm
	angle = abs(hour_angle - minute_angle)
	angle = min(360 - angle, angle)
	return angle
"
write a program to find and print the largest among three number	"snum1 = 10
num2 = 12
num3 = 14
if (num1 >= num2) and (num1 >= num3):
	largest = num1
elif (num2 >= num1) and (num2 >= num3):
	largest = num2
else:
	largest = num3
print(f'largest:{largest}')
"
write a program from given string replace each punctuation with #	"

from string import punctuation


str1 = '/*Jon is @developer & musician!!'
print(f""The original string is :{str1}"")
"
find the sum of the cube of each digit	"temp = num
while temp > 0:
	digit = temp % 10
	sum += digit ** 3
	temp //= 10
"
write a python function to prepend a single value in front of an iterator	"def prepend(value, iterator):
	import itertools
	return itertools.chain([value], iterator)
"
prints numbers between 0 and 10	"

import time


def print_loop_with_delay(sec):
	for i in range(0, 10):
        time.sleep(sec)
        print(i)
"
triangle and print the perimeter and area.	"

import math


AB = input(""Length of the first leg: "")
AC = input(""Length of the second leg: "")
AB = float(AB)
AC = float(AC)


BC = math.sqrt(AB + AC)
S = (AB * AC) / 2


P = AB + AC + BC
print(""Area of the triangle: %.2f"" % S)
print(""Perimeter of the triangle: %.2f"" % P)
"
the digits of the given integer	"def reverse(n):
	s = str(n)
	p = s[::-1]
	return p
"
Write a Python function that calculate side length of a equilateral polygon	"

import math


def side_length(no_of_sides, circumradius):
	return 2 * circumradius * math.sin(math.pi / no_of_sides)
"
Please write a program to print Python built-in functions document of abs()	"print(abs.__doc__)
"
35 write a program to find the most frequent element in a list	"
def most_frequent(List):
	counter = 0
	num = List[0]

	for i in List:
        curr_frequency = List.count(i)
        if(curr_frequency > counter):
            counter = curr_frequency
            num = i

	return num


List = [2, 1, 2, 2, 1, 3]
print(most_frequent(List))
"
Write a function to calculate volume of Triangular Pyramid	"def volumeTriangular(a, b, h):
	return (0.1666) * a * b * h
"
of list	"

test_list = ['[1, 4, 5]', '[4, 6, 8]']


print(f""The original list is : {test_list}"")


res = [i.strip(""[]"").split("", "") for i in test_list]


print(f""The list after conversion is : {res}"")
"
element that appears in a list	"

def most_frequent(list):
	return max(set(list), key=list.count)
"
"[""Hockey"",""Football""]."	"subjects = [""I"", ""You""]
verbs = [""Play"", ""Love""]
objects = [""Hockey"", ""Football""]
for i in range(len(subjects)):
	for j in range(len(verbs)):
        for k in range(len(objects)):
            sentence = ""%s %s %s."" % (subjects[i], verbs[j], objects[k])
            print(sentence)
"
write program to convert string to lower case	"st = ""AMMAR ADIL""


lower_st = st.lower()
print(""Lower Case"", lower_st)
"
Write a function to return the area of a rectangle	"def cal_area_rect(length, breadth):
	return length * breadth
"
Write Python Program to print if a Number is Odd or Even	"num = 102
if (num % 2) == 0:
	print(f""{num} is Even"")
else:
	print(f""{num} is Odd"")
"
numbers using yield	"def nextSquare():
	i = 1
	
	while True:
        yield i * i
        i += 1
"
76 write a program to print the binary value of the numbers from 1 to N	"

n = int(input(""Enter the value of N: ""))


for i in range(1, n + 1):
	print(""Binary value of "", i, "" is: "", bin(i))
"
write a python program to convert a set to a list	"myset = {1, 2, 4, 7}
mylist = list(myset)
"
sentence.	"def word_count(str):
	counts = dict()
	words = str.split()

	for word in words:
        if word in counts:
            counts[word] += 1
        else:
            counts[word] = 1

	return counts
"
Create and print a dictionary	"thisdict = {
	""brand"": ""Ford"",
	""model"": ""Mustang"",
	""year"": 1964
}
print(f""Sample Dictionary:{thisdict}"")
"
in matrix and print them	"

test_list = [[3, 4, 5], [1, 2, 4], [4, 1, 10]]


res = True
for idx in range(len(test_list[0])):

	col = [ele[idx] for ele in test_list]

	if len(list(set(col))) != len(col):
        res = False
        break

print(""Are all columns Unique : "" + str(res))
"
later part of the string	"def change_char(str1):
	char = str1[0]
	length = len(str1)
	str1 = str1.replace(char, '$')
	str1 = char + str1[1:]


return str1


print(change_char('restart'))
"
Reverse a given string	"str1 = ""PYnative""
print(""Original String is:"", str1)


str1 = str1[::-1]
print(""Reversed String is:"", str1)
"
Write a Python function to return octal value of a given integer	"def int_to_oct(a):
	return oct(a)
"
python program to detect number of local variables defined in a program	"def abc():
	x = 1
	y = 2
	str1 = ""w3resource""
	print(""Python Exercises"")


print(abc.__code__.co_nlocals)
"
write a program to multiply two Matrix	"X = [[12, 7, 3],
     [4, 5, 6],
     [7, 8, 9]]
Y = [[5, 8, 1, 2],
     [6, 7, 3, 0],
     [4, 5, 9, 1]]
result = [[0, 0, 0, 0],
          [0, 0, 0, 0],
          [0, 0, 0, 0]]


for i in range(len(X)):
	for j in range(len(Y[0])):
        for k in range(len(Y)):
            result[i][j] += X[i][k] * Y[k][j]
print(f""Final Result is{result}"")
"
nested dictionary and return it	"def lists_to_dict(test_list1, test_list2, test_list3):
	res = [{a: {b: c}}
           for (a, b, c) in zip(test_list1, test_list2, test_list3)]
	return res
"
Occurs in a List	"

a = [2, 3, 8, 9, 2, 4, 6]
k = 0
num = int(input(""Enter the number to be counted:""))
for j in a:
	if(j == num):
        k = k + 1
print(""Number of times"", num, ""appears is"", k)
"
52 write a python program to normalize a list of numbers and print the result	"a = [2, 4, 10, 6, 8, 4]
amin, amax = min(a), max(a)
for i, val in enumerate(a):
	a[i] = (val - amin) / (amax - amin)
print(a)
"
third edge, where the side lengths are all integers.	"def next_edge(side1, side2):
	return (side1 + side2 - 1)
"
86 write a program to convert meters into yards	"num = float(input(""Enter the distance measured in centimeter : ""))


inc = num / 2.54
print(""Distance in inch : "", inc)
"
Circle class has a method which can compute the area.	"class Circle(object):
	def __init__(self, r):
        self.radius = r

	def area(self):
        return self.radius**2 * 3.14
"
Write a python function to get the Cumulative sum of a list	"def Cumulative(lists):
	cu_list = []
	length = len(lists)
	cu_list = [sum(lists[0:x:1]) for x in range(0, length + 1)]
	return cu_list[1:]


 
l = [1, 2.0, 'hello', 'have', 'a', 'good', 'day']

s = 'hello'

if s in l:
	print(f'{s} is present in the list')
else:
	print(f'{s} is not present in the list')
"
index of value if the value of the key is list.	"test_list = [{'tsai': [5, 3, 9, 1], 'is': 8, 'good': 10},
             {'tsai': 1, 'for': 10, 'geeks': 9},
             {'love': 4, 'tsai': [7, 3, 22, 1]}]
N = 2
key = ""tsai""
for sub in test_list:
	if isinstance(sub[key], list):
        sub[key] = sub[key][N]
"
else return None ax**2 + bx + c = 0	"def roots_of_qad_eq(a: float, b: float, c: float):
	d = b**2 - 4 * a * c
	if d >= 0:
        return (-b + (d)**(1 / 2)) / 2 * a, (-b - (d)**(1 / 2)) / 2 * a
	else:
        return None
"
latitude and longitude.	"from math import radians, sin, cos, acos


print(""Input coordinates of two points:"")
slat = radians(float(input(""Starting latitude: "")))
slon = radians(float(input(""Ending longitude: "")))
elat = radians(float(input(""Starting latitude: "")))
elon = radians(float(input(""Ending longitude: "")))


dist = 6371.01 * acos(sin(slat) * sin(elat) + cos(slat)
                      * cos(elat) * cos(slon - elon))
print(""The distance is %.2fkm."" % dist)
"
by removing duplicates	"

set1 = {10, 20, 30, 40, 50}
set2 = {30, 40, 50, 60, 70}


print(set1.union(set2))
"
height as input	"def cylinder_volume(radius, height):
	volume = 3.14 * (radius ** 2) * height
	return volume
"
Write a Python program to convert a tuple to a string.	"tup = ('e', 'x', 'e', 'r', 'c', 'i', 's', 'e', 's')
str = ''.join(tup)
print(str)
"
Write a python program to reverse a string	"s = ""i like this program very much""
words = s.split(' ')
string = []
for word in words:
	string.insert(0, word)

print(""Reversed String:"")
print("" "".join(string))
"
Write a python function to check if number is divisible by all the digits	"

def allDigitsDivide(n):

	temp = n
	while (temp > 0):
        digit = temp % 10
        if not (digit != 0 and n % digit == 0):
            return False

        temp = temp // 10

	return True
"
write a python program for implementation of selection sort of list	"A = [64, 25, 12, 22, 11]


for i in range(len(A)):

	min_idx = i
	for j in range(i + 1, len(A)):
        if A[min_idx] > A[j]:
            min_idx = j

	A[i], A[min_idx] = A[min_idx], A[i]


print(f""Sorted array {A}"")
"
Write a Python Program to Check and print if a given year is a Leap Year	"year = 2000
if (year % 4) == 0:
	if (year % 100) == 0:
        if (year % 400) == 0:
            print(f""{year} is a leap year"")
        else:
            print(f""{year} is not a leap year"")
	else:
        print(f""{year} is a leap year"")
else:
	print(f""{year} is not a leap year"")
"
57 write a  program to convert decimal to binary, octal and hexadecimal	"dec = int(input(""Enter a decimal number: ""))

print(bin(dec), ""in binary."")
print(oct(dec), ""in octal."")
print(hex(dec), ""in hexadecimal."")
"
print its contents	"def read_and_print_file(filepath):
	with open(filepath, ""r"") as infile:
        print(infile.read())
"
new string	"def removeChars(str, n):
	return str[n:]
"
write a program to print 5 odd random numbers between 100 and 200	"import random
print(random.sample([i for i in range(10, 100) if i % 2 == 1], 5))
"
Write a python function Password match the required criteria:	"def PasswordMatchCriteria(pas):
	upper, lower, special, num = 0, 0, 0, 0
	for x in pas:
        if (len(pas) >= 6) and (len(pas) <= 12):
            if x.isupper():
                upper += 1
            elif x.islower():
                lower += 1
            elif x.isnumeric():
                num += 1
            elif x.isspace():
                j = 0
            else:
                special += 1
        if (upper > 0) and (lower > 0) and (special > 0) and (num > 0):
            return True
        else:
            False


passwords = input(""Enter Passwords which are seperated by \"",\"": "")
password = passwords.split("","")
for i in password:
	if PasswordMatchCriteria(i):
        print(i)
"
height	"

import math


def calc_hypotenuse(base, height):
	return math.sqrt(base * base + height * height)
"
write a python function to get the sum of numbers in a given digit	"
def getSum(n):
	sum = 0
	for digit in str(n):
        sum += int(digit)
	return sum
"
33 write a program to reverse words of string	"
def rev_sentence(sentence):
	words = sentence.split(' ')
	reverse_sentence = ' '.join(reversed(words))
	return reverse_sentence


if __name__ == ""__main__"":
	input = 'have a good day'
	print(rev_sentence(input))
"
operator in python.	"def multiply(x, y):
	if y < 0:
        return -multiply(x, -y)
	elif y == 0:
        return 0
	elif y == 1:
        return x
	else:
        return x + multiply(x, y - 1)
"
sentence	"sentence = 'this is my sentence and i will write it my way'
maxlength = 3
result = [word for word in sentence.split(' ') if len(word) <= minlength]
"
24. python program for the sum of first n numbers.	"def sum_n_num(n):
	return n * (n + 1) / 2
"
test if string contains digits	"word = ""Hello World""
check = word.isdigit()
print(f""String contains digits?:{check}"")
"
Removal all the characters other than integers from string	"str1 = 'I am 25 years and 10 months old'
res = """".join([item for item in str1 if item.isdigit()])
print(res)
"
write a python function to get 10 best Artists playing on Apple iTunes	"def get_artists():
	import requests
	url = 'https://itunes.apple.com/us/rss/topsongs/limit=10/json'
	response = requests.get(url)
	data = response.json()
	for artist_dict in data['feed']['entry']:
        artist_name = artist_dict['im:artist']['label']
        print(artist_name)
"
52 write a program to check Armstrong number	"

num = int(input(""Enter a number: ""))
sum = 0
temp = num

while temp > 0:
	digit = temp % 10
	sum += digit ** 3
	temp //= 10

if num == sum:
	print(num, ""is an Armstrong number"")
else:
	print(num, ""is not an Armstrong number"")
"
Given a list slice it into a 3 equal chunks and revert each list	"sampleList = [11, 45, 8, 23, 14, 12, 78, 45, 89]


length = len(sampleList)
chunkSize = int(length / 3)
start = 0
end = chunkSize
for i in range(1, 4, 1):
	indexes = slice(start, end, 1)
	listChunk = sampleList[indexes]
	mylist = [i for i in listChunk]
	print(""After reversing it "", mylist)
	start = end
	if(i != 2):
        end += chunkSize
	else:
        end += length - chunkSize
"
write a python function which is decorated on another function	"def myDecorator(func):
	def new_func(n):
        return '$' + func(n)
	return new_func


@ myDecorator
def myFunction(a):
	return(a)
"
and print the result #Example:input:InDiAaa #Output: iNdIaAA	"

s = input()
print(s.swapcase())
"
ar[i]+ar[j] is divisible by k in a data list	"def divisible_sum_pairs(arr, k):
	count = 0
	n = len(arr)
	for i in range(n - 1):
        j = i + 1
        while j < n:
            if ((arr[i] + arr[j]) % k) == 0:
                count += 1
            j += 1
	return count
"
triangle and compute the area.	"def triangle_area(base, height):
	area = base * height / 2
	return area
"
Test if string contains upper case	"word = ""Hello World""
check = word.isupper()
print(f""String contains upper case?:{check}"")
"
dictionary.	"
def checkKey(dict, key):

	if key in dict.keys():
        print(""Present, "", end="" "")
        print(""value ="", dict[key])
	else:
        print(""Not present"")
"
write a python function with generator for an infinite sequence	"def infinite_sequence():
	n = 0
	while True:
        yield n
        n += 1


import uuid
"
provided string.	"

def decapitalize(s, upper_rest=False):
	return ''.join([s[:1].lower(), (s[1:].upper() if upper_rest else s[1:])])
"
write Function to right rotate n by d bits	"def rightRotate(n, d):
	INT_BITS = 32

	return (n >> d) | (n << (INT_BITS - d)) & 0xFFFFFFFF


n = 16
d = 2


print(""Right Rotation of"", n, ""by"", d, ""is"", end="" "")
print(rightRotate(n, d))
"
other characters	"

string = ""$john.snow#@Got.bad_ending/com""
for ch in string:
	if (ch >= 'A' and ch <= 'Z') or (ch >= 'a' and ch <= 'z'):
        print(ch, end='')
	else:
        pass
"
41. Python Program to Add Two Matrices using Nested List Comprehension	"X = [[12, 7, 3],
     [4, 5, 6],
     [7, 8, 9]]


Y = [[5, 8, 1],
     [6, 7, 3],
     [4, 5, 9]]


result = [[X[i][j] + Y[i][j] for j in range(len(X[0]))] for i in range(len(X))]


for r in result:
	print(r)
"
write a python program to capitalize a string	"str1 = 'hello'
print(str1.capitalize())
"
Write a python program using kwargs	"def fav_colors(**kwargs):
	
	print(kwargs)
	for person, color in kwargs.items():
        print(f""{person}'s favorite color is {color}"")


fav_colors(sriju=""red"", faizu=""yellow"", kabir=""black"")
"
Check if the key exists or not in JSON	"import json


studentJson = """"""{
	""id"": 1,
	""name"": ""Piyush Jain"",
	""class"": null,
	""percentage"": 35,
	""email"": ""piyushjain220@gmail.com""
}""""""


print(""Checking if percentage key exists in JSON"")
student = json.loads(studentJson)
if ""percentage"" in student:
	print(""Key exist in JSON data"")
	print(student[""name""], ""marks is: "", student[""percentage""])
else:
	print(""Key doesn't exist in JSON data"")
"
37. python function to find angle between hour hand and minute hand	"def calcAngle(hh, mm):

	
	
	
	hour_angle = 0.5 * (hh * 60 + mm)
	minute_angle = 6 * mm

	
	
	angle = abs(hour_angle - minute_angle)

	
	
	angle = min(360 - angle, angle)

	return angle
"
1 write a program to get numbers = 1,3,11,42,12,4001	"highestnumber = -999
for i in numbers:
	if i > highestnumber:
        highestnumber = i
print(numbers.index(highestnumber))
"
write a python program to print the items in a list apart from the first 4	"my_list = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
print(my_list[4:])
"
write a python function to convert from Celcius to fahrenhiet	"

def cel_to_fah(celcius):
	return 9 * celcius / 5 + 32
"
Write a Python program to add member(s) in a set	"color_set = set()
color_set.add(""Red"")
color_set.update([""Blue"", ""Green""])
print(color_set)
"
between 2000 and 3200 (both included).	"l = []
for i in range(2000, 3201):
	if (i % 7 == 0) and (i % 5 != 0):
        l.append(str(i))


print(','.join(l))
"
character array using itertools	"import itertools


def extract_characters(input_list):
	return [char_val for char_val in itertools.chain.from_iterable(input_list)]
"
Write a python function to find greatest common divisor	"

def greatest_common_divisor(x, y):
	print(""For"", x, ""and"", y, "","")
	r = x % y
	while r > 0:
        r = x % y
        if r == 0:
            print(""the greatest common divisor is"", y, ""."")
        else:
            q = y
            x = q
            y = r


greatest_common_divisor(1071, 1029)
"
Write a Python Program to print the Factorial of a Number	"num = 7
factorial = 1
if num < 0:
	print(""Sorry, factorial does not exist for negative numbers"")
elif num == 0:
	print(""The factorial of 0 is 1"")
else:
	for i in range(1, num + 1):
        factorial = factorial * i
	print(""The factorial of"", num, ""is"", factorial)
"
write a python function that would reverse the given string	"def reverse_string(str_to_be_reversed):
	return str_to_be_reversed[::-1]
"
comprehension and returns the result	"def square_numbers(nums):
	return [i * i for i in nums]
"
candidates where the chosen numbers sum to target.	"

def combinationSum(candidates, target):
	results = []

	def helper(i, path):
        if sum(path) == target:
            results.append(path[:])
            return

        if sum(path) > target:
            return

        for x in range(i, len(candidates)):
            path.append(candidates[x])
            helper(x, path)
            path.pop()

	helper(0, [])
	return results
"
write a python function to return a set of all punctuation used in a string	"def get_punctuations(sentence):
	punctuations = '''!()-[]{};:'""\\,<>./?@#$%^&*_~'''
	used_punctuation = set()
	for char in sentence:
        if char in punctuations:
            used_punctuation.add(char)
	return used_punctuation
"
rabbits and how many chickens do we have?	"def solve(numheads, numlegs):
	ns = 'No solutions!'
	for i in range(numheads + 1):
        j = numheads - i
        if 2 * i + 4 * j == numlegs:
            return i, j
	return ns, ns
"
print the key element if found	"

def binary_search(alist, key):
	
	start = 0
	end = len(alist)
	while start < end:
        mid = (start + end) // 2
        if alist[mid] > key:
            end = mid
        elif alist[mid] < key:
            start = mid + 1
        else:
            return mid
	return -1


alist = [2, 3, 5, 6, 4, 5]


key = 6

index = binary_search(alist, key)
if index < 0:
	print(f'{key} was not found.')
else:
	print(f'{key} was found at index {index}.')
"
list using list comprehension + join()	"

test_list = [('G', 'E', 'E', 'K', 'S'), ('F', 'O', 'R'),
             ('G', 'E', 'E', 'K', 'S')]
print(""The original list is : "" + str(test_list))
res = [''.join(i) for i in test_list]
print(""The list after conversion to list of string : "" + str(res))
"
write a function to replace vowels with a specific character K	"

def replacewith_K(test_str, K):

	vowels = 'AEIOUaeiou'
	for ele in vowels:
        test_str = test_str.replace(ele, K)

	return test_str
"
write a python function to add user provided list and return the result	"def addlist(list1, list2):
	result = list1 + list2
	return result


answer = addlist(['cat', 'dog'], ['samsung', 'oneplus'])
"
write a python program to add and square a range of number	"x = [i**+1 for i in range(3)]
print(x)
"
or tuple or string and returns the new sorted sequence	"def selection_sort(list_to_be_sorted):
	sorted_list = list_to_be_sorted[:]
	for i in range(len(sorted_list)):
        new_min = sorted_list[i]
        new_min_old_place = i
        for j in range(i + 1, len(sorted_list)):
            if new_min > sorted_list[j]:
                new_min = sorted_list[j]
                new_min_old_place = j
        old_val = sorted_list[i]
        sorted_list[i] = new_min
        sorted_list[new_min_old_place] = old_val
	return sorted_list
"
want to reuse this name:	"def my_func():
	print(var)  
	var = 'locally changed'  


var = 'global'
my_func()
"
write a python function to map a numeric lookup using bisect	"def grade(score, breakpoints=[60, 70, 80, 90], grades='FDCBA'):
	from bisect import bisect
	i = bisect(breakpoints, score)
	return grades[i]
"
write a function to calculate the sum of digits of a number	"

def sum_of_digits(num):
	sum = 0
	while(num > 0):
        sum += num % 10
        num = num // 10
	return sum
"
Write a function to return the perimeter of a rectangle	"def cal_perimeter_rect(length, bredth):
	return 2 * (length + bredth)
"
them alphabetically.	"items = [x for x in raw_input().split(',')]
items.sort()
print(','.join(items))
"
Write a Python function to return Syslvester's Sequence	"def syslvester_seq(n):
	if n == 1:
        return 2
	if n > 1:
        return syslvester_seq(n - 1)**2 - syslvester_seq(n - 1) + 1
"
such tuples	"def zip_(list_of_seq):
	return list(zip(*list_of_seq))
"
doesn't occur twice.	"def single_number(arr):
	result = 0
	for i in arr:
        result ^= i
	return result
"
display the unpunctuated string	"print(no_punct)
"
write a python function to emulate the behavior of built-in map() function	"def pad_none(iterable):
	
	from itertools import chain, repeat
	return chain(iterable, repeat(None))
"
print the key element if found	"

def binary_search_rec(alist, start, end, key):
	
	if not start < end:
        return -1

	mid = (start + end) // 2
	if alist[mid] < key:
        return binary_search_rec(alist, mid + 1, end, key)
	elif alist[mid] > key:
        return binary_search_rec(alist, start, mid, key)
	else:
        return mid


alist = [2, 3, 5, 6, 4, 5]


key = 6

index = binary_search_rec(alist, 0, len(alist), key)
if index < 0:
	print(f'{key} was not found.')
else:
	print(f'{key} was found at index {index}.')
"
ax**2 + bx + c = 0	"def sum_of_roots(a: float, c: float):
	if a:
        return c / a
	else:
        return None
"
write a python program to print the least frequent character in a string	"test_str = ""this is test string""
all_freq = {}
for i in test_str:
	if i in all_freq:
        all_freq[i] += 1
	else:
        all_freq[i] = 1
res = min(all_freq, key=all_freq.get)
print(res)
"
34. Python Program to Map two lists into a Dictionary	"

keys = ['name', 'age', 'job']
values = ['John', 25, 'Developer']


myDict = {k: v for k, v in zip(keys, values)}
print(""Dictionary Items  :  "", myDict)
"
write a python program to count the len of unique elements	"

nums = set([1, 1, 2, 3, 3, 3, 4, 4])
print(len(nums))
"
"and ""Female"" for Female class."	"class Person(object):
	def getGender(self):
        return ""Unknown""


class Male(Person):
	def getGender(self):
        return ""Male""


class Female(Person):
	def getGender(self):
        return ""Female""


aMale = Male()
aFemale = Female()
print(aMale.getGender())
print(aFemale.getGender())
"
call the decorated function	"print(myFunction('100'))
"
Write a function to return the cartisian distance between two points	"def cal_cart_distance(x1: float, y1: float, x2: float, y2: float) -> float:
	return ((x1 - x2)**2 + (y1 - y2)**2)**(1 / 2)
"
2 write a program to find sum of elements in list	"list1 = [11, 5, 17, 18, 23]
total = sum(list1)
print(""Sum of all elements in given list: "", total)
"
equation ax**2 + bx + c = 0	"

import cmath


a = 1
b = 5
c = 6


d = (b**2) - (4 * a * c)


sol1 = (-b - cmath.sqrt(d)) / (2 * a)
sol2 = (-b + cmath.sqrt(d)) / (2 * a)


print('The solution are {0} and {1}'.format(sol1, sol2))
"
